state,x,y
Himachal Pradesh,-108,230
Punjab,-144,211
Uttarakhand,-74,192
Haryana,-132,170
Rajasthan,-190,113
Gujarat,-234,37
Uttar Pradesh,-51,122
Madhya Pradesh,-101,38
Maharashtra,-151,-47
Chhattisgarh,-20,-6
Bihar,57,90
Sikkim,115,139
Jharkhand,46,46
Odisha,34,-14
West Bengal,108,37
Telangana,-75,-83
Andhra Pradesh,-83,-144
Karnataka,-143-158
Kerala,-128,-246
Tamil Nadu,-89,-233
Arunachal Pradesh,224,161
Assam,196,118
Meghalaya,169,97
Tripura,181,58
Mizoram,207,56
Manipur,227,86
Nagaland,237,118
Goa,-176,-137
